conditions,drug,indication,type,effective,easeofuse,satisfaction
endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,4.39,4.35,3.08
endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,3.19,3.99,2.06
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.3,4.45,2.45
endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,4.48,4.67,3.3
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,3.83,4.1,2.44
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,2.83,4.29,2.38
endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,4.58,4.34,3.13
endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,3.71,3.82,1.9
endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,3.11,3.55,1.38
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,3.65,4.09,2.53
endometriosis,Norethindrone Acetate,On Label,RX,3.81,4.33,3.5
endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,4.17,4.17,2.79
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.29,4.28,2.63
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.45,3.92,2.51
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.48,4.38,3.15
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,3.88,3.88,2.33
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.24,4.16,3
endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,4.09,4.27,2.77
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.08,3.95,2.4
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.43,4.35,2.53
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.52,4.36,2.8
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.2,4,2.66
endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,4.5,4.42,3.17
endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,3.94,4.51,2.66
endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,4.47,4.58,2.64
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.03,4.24,2.71
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,3.48,3.8,2.12
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.05,4.07,2.1
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.38,4.62,2.97
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,3.53,3.83,2.33
endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,3.62,4.21,2.26
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.1,4.67,3.33
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,2.64,2.58,1.31
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,3.68,3.95,2.27
endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,4.31,4.06,2.13
endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,4.32,4.28,2.84
endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,3.39,3.96,2.22
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.5,4.75,3.5
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.52,4.19,2
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.76,4.71,2.94
endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,4.08,4.46,3.62
endometriosis,Danazol,On Label,RX,3.38,3.88,3.38
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.4,3.93,2.53
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.88,4.82,4.47
endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,3.58,4,3.08
endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,4,4.71,2.43
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,3.92,4.08,3.54
endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,4.28,3.72,2.83
endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,4.38,4.13,3.5
endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,3.36,3.27,1.64
endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,4.7,4.7,2.9
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,3.64,3.82,2.73
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,3.64,3.82,2.73
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,3.64,3.82,2.73
endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,3.33,4.33,1.17
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.67,4.5,4.5
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5,4.92,3.58
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.17,4.17,2.25
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,3.92,4.08,3.42
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.5,4.38,3.63
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.75,4.38,3.13
endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,4.45,4.55,2.55
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,3.67,5,4
endometriosis,Medroxyprogesterone,On Label,RX,4.73,4.55,3
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4,3.44,2.22
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.5,4.38,2.5
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,3.67,4.33,3.67
endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,3.57,4.14,2.43
endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,3.67,3.67,3.67
endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,2,2.33,1
endometriosis,Triptorelin Pamoate,Off Label,RX,3.33,3.5,2.17
endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,4.4,3.6,1.8
endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,4.38,4.75,4.13
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,5,5,3.67
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,3.33,3.33,3
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4,4.2,3.8
endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,5,5,5
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.6,4.2,3.2
endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,4.5,4.25,3
endometriosis,Medroxyprogesterone,Off Label,RX,4.4,4.8,3.2
endometriosis,Medroxyprogesterone,Off Label,RX,4.4,4.8,3.2
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5,5,4.6
endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,3,5,3
endometriosis,Danazol,On Label,RX,2.25,3.5,2
endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,4.67,5,3.67
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,3.8,4.6,1.8
endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,3.25,4.5,2.25
endometriosis,Nafarelin,On Label,RX,3,3,2
endometriosis,Triptorelin Pamoate,Off Label,RX,3.8,2.6,2.6
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.75,5,4.25
endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,3.5,2,1
endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,3.33,5,2.33
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5,5,5
endometriosis,Goserelin,On Label,RX,4,5,5
endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,4.67,3.67,3.33
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5,4.67,2.33
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.5,4,2.5
endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,2.33,3.33,2
endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,2.33,3.33,2
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,5,4.5,5
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,3,5,1
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,3,5,1
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,3,5,1
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,5,3.67,2
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,2.67,4.67,2.33
endometriosis,Norethin-Eth Estrad Biphasic,Off Label,RX,4.5,4.25,3
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.67,4.33,3.33
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,1,4.5,1.5
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5,4,4.5
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,1,1,1
endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,5,5,2.5
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.5,4,2
endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,2,4,2
endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,2,5,1
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5,5,5
endometriosis,Triptorelin Pamoate,Off Label,RX,4,3,3
endometriosis,Triptorelin Pamoate,Off Label,RX,4,3,3
endometriosis,Triptorelin Pamoate,Off Label,RX,4,3,3
endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,5,5,5
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5,5,5
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,3,3,3
endometriosis,Medroxyprogesterone,On Label,RX,3.5,5,3
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,5,5,3.5
endometriosis,"Norethin-E.Estradiol Triphasic, Norethindrone-Ethin Estradiol",Off Label,RX,1,5,1
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,2.5,3,2.5
endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,5,5,4.5
endometriosis,Triptorelin Pamoate,Off Label,RX,4,4.5,2
endometriosis,Triptorelin Pamoate,Off Label,RX,4,4.5,2
endometriosis,Triptorelin Pamoate,Off Label,RX,4,4.5,2
endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,5,5,5
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5,4,5
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4,5,4
endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,1,3,1
endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,5,5,4
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5,5,1
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4,4,3
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,5,5,5
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,5,5,2
endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,4,4,1
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,5,5,5
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,3,4,2
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,5,5,5
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4,4,4
endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,4,4,4
endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,5,5,5
endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,4,5,1
endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,5,4,3
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,1,1,1
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5,5,4
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,1,1,1
fever,Naproxen,On Label,RX,2.82,3.7,2.42
fever,Naproxen,On Label,RX,2.82,3.7,2.42
fever,Naproxen,On Label,RX,2.82,3.7,2.42
fever,Indomethacin,Off Label,RX,3.97,4.25,3.67
fever,Indomethacin,Off Label,RX,3.97,4.25,3.67
fever,Indomethacin,Off Label,RX,3.97,4.25,3.67
fever,Ibuprofen,On Label,RX/OTC,3.37,3.98,3.13
fever,Ibuprofen,On Label,RX/OTC,3.37,3.98,3.13
fever,Ibuprofen,On Label,RX/OTC,3.37,3.98,3.13
fever,Ibuprofen,On Label,RX/OTC,3.37,3.98,3.13
fever,Naproxen Sodium,On Label,OTC,3.5,4.24,3.13
fever,Acetaminophen,On Label,OTC,3.07,3.85,3.15
fever,Naproxen Sodium,On Label,RX/OTC,3.12,4.23,2.73
fever,Naproxen Sodium,On Label,RX/OTC,3.12,4.23,2.73
fever,Indomethacin,Off Label,RX,4.22,4.41,4.06
fever,Indomethacin,Off Label,RX,4.22,4.41,4.06
fever,Indomethacin,Off Label,RX,4.22,4.41,4.06
fever,Acetaminophen,On Label,OTC,3.31,4.06,3.13
fever,Acetaminophen,On Label,OTC,3.31,4.06,3.13
fever,Acetaminophen,On Label,OTC,3.31,4.06,3.13
fever,Acetaminophen,On Label,OTC,3.31,4.06,3.13
fever,Naproxen,Off Label,RX,3.27,3.64,2.91
fever,Naproxen,Off Label,RX,3.27,3.64,2.91
fever,Aspirin,On Label,RX/OTC,4.27,4.64,4.55
fever,Aspirin,On Label,RX/OTC,4.27,4.64,4.55
fever,Aspirin,On Label,RX/OTC,4.27,4.64,4.55
fever,Aspirin,On Label,RX/OTC,4.27,4.64,4.55
fever,Doxylamin-PSE-DM-Acetaminophen,On Label,OTC,3.26,4.21,2.63
fever,Ibuprofen,On Label,RX/OTC,3.64,4.18,3.64
fever,Ibuprofen,On Label,RX/OTC,3.64,4.18,3.64
fever,Ibuprofen,On Label,RX/OTC,3.64,4.18,3.64
fever,Ibuprofen,On Label,RX/OTC,3.64,4.18,3.64
fever,Ibuprofen,On Label,OTC,4.2,4.4,4.2
fever,Ibuprofen,On Label,OTC,4.2,4.4,4.2
fever,Ibuprofen,On Label,OTC,4.21,4.79,4
fever,ASA-Acetaminophen-Salicyl-Caff,On Label,RX,2.23,2.46,2.15
fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,2.75,4,2.44
fever,Pseudoephedrine-Ibuprofen,On Label,OTC,4.92,4.92,4.75
fever,Pseudoeph-DM-GG-Acetaminophen,On Label,OTC,4.75,4.13,4.25
fever,Ibuprofen,On Label,OTC,4.75,5,4.75
fever,Acetaminophen,On Label,OTC,3.73,4.36,3.55
fever,Acetaminophen,On Label,OTC,4.5,4,4.25
fever,Acetaminophen,On Label,OTC,3,4.25,2.5
fever,Acetaminophen,On Label,OTC,2.2,4,2.8
fever,Acetaminophen,On Label,OTC,3.5,4,3.75
fever,Ibuprofen,On Label,OTC,4,4.4,4.2
fever,Acetaminophen-Caffeine,On Label,OTC,5,4.88,4.88
fever,Indomethacin,Off Label,RX,4.4,4.6,4.2
fever,Phenyltoloxamine-Acetaminophen,"
",RX,4,3.8,4
fever,Naproxen Sodium,Off Label,RX,3.33,3.67,3
fever,Doxylamin-PSE-DM-Acetaminophen,On Label,OTC,4.33,5,4.33
fever,Aspirin,On Label,OTC,5,5,5
fever,Chlorpheniram-DM-Acetaminophen,On Label,OTC,5,5,5
fever,Acetaminophen,On Label,OTC,3.67,4.67,4.33
fever,Acetaminophen,On Label,OTC,4.5,4.5,4.5
fever,Phenyltoloxamine-Acetaminophen,"
",RX,3.5,5,3.25
fever,Pseudoeph-DM-GG-Acetaminophen,On Label,OTC,5,5,5
fever,"ASA-Acetaminophen-Salicyl-Caff, Mg Salicylat-Acetaminophen-Caf",On Label,OTC,2.6,3,2.8
fever,ASA-Acetaminophen-Salicyl-Caff,On Label,OTC,5,4,5
fever,"Choline,Magnesium Salicylate",On Label,RX,2.33,4,1.67
fever,Acetaminophen,On Label,OTC,5,5,5
fever,Acetaminophen,On Label,OTC,2,2,1
fever,Naproxen Sodium,On Label,OTC,4,5,5
fever,Doxylamin-PSE-DM-Acetaminophen,On Label,OTC,2,2.5,1
fever,Pseudoeph-DM-GG-Acetaminophen,On Label,OTC,4,5,2.5
fever,"Aspirin, Buffered",On Label,OTC,5,5,5
fever,Aspirin,On Label,OTC,3,5,5
fever,Acetaminophen,On Label,OTC,1.5,2.5,1.5
fever,Phenyltoloxamine-Acetaminophen,"
",OTC,4.5,4.5,5
fever,Aspirin,On Label,OTC,4,5,5
fever,Acetaminophen,On Label,OTC,3,4,3
fever,Naproxen-Pseudoephedrine,On Label,OTC,4.5,5,3
fever,Acetaminophen,On Label,OTC,4.5,4,4.5
fever,Acetaminophen,On Label,RX,4,4.75,4
fever,Naproxen Sodium,Off Label,RX,4,5,4
fever,"Chlorphen-PE-DM-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,5,5,5
fever,DM-PE-Acetam/DM-Acetam-Doxylam,On Label,OTC,3,3,3
fever,Phenyltoloxamine-Acetaminophen,"
",OTC,3.67,4.33,3.33
fever,Aspirin,On Label,OTC,5,5,4.5
fever,Ibuprofen,On Label,OTC,4,4.67,4.33
fever,Ibuprofen,On Label,OTC,4,4.67,4.33
fever,Ibuprofen,On Label,OTC,4,4.67,4.33
fever,Aspirin,On Label,OTC,4.5,4.5,4.5
fever,Phenyltoloxamine-Acetaminophen,"
",RX,4.67,5,4.33
fever,Cpm-Pseudoeph-DM-Acetaminophen,On Label,OTC,5,5,5
fever,Pseudoeph-DM-GG-Acetaminophen,On Label,RX,4,3,4
fever,Acetaminophen,On Label,RX,1.67,3,1.67
fever,Phenyltoloxamine-Acetaminophen,"
",RX/OTC,2.5,4,2.5
fever,"Chlorpheniramine-Acetaminophen, Chlorphen-PPA-Acetaminophen",On Label,OTC,4,3,5
fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,3.5,3,1.5
fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,2.75,4.25,2.5
fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,4,4.67,3
fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,3,4,2
fever,Ibuprofen,On Label,OTC,2.5,3,1
fever,Ibuprofen,On Label,OTC,2.5,3,1
fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,3,4,2
fever,Doxylamine-DM-Acetaminophen,On Label,OTC,5,5,4.5
fever,Aspirin,On Label,OTC,4,5,4
fever,"Aspirin, Buffered",On Label,OTC,4,4.5,5
fever,Aspirin,On Label,OTC,1,4,1
fever,Phenyltoloxamine-Acetaminophen,"
",RX,3,3.5,3
fever,Ibuprofen,On Label,RX,4.5,4.5,4
fever,Pseudoephedrine-Ibuprofen,On Label,OTC,2,4,1
fever,Aspirin,On Label,OTC,4.5,4.5,4.5
fever,Naproxen-Pseudoephedrine,On Label,OTC,4.33,4.33,4.33
fever,Naproxen-Pseudoephedrine,On Label,OTC,4,4,4
fever,Naproxen-Pseudoephedrine,On Label,OTC,5,5,5
fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,3.5,4.5,3.5
fever,Phenyltoloxamine-Acetaminophen,"
",RX,3.5,4,3.5
fever,"Pseudoephed-DM-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,5,5,5
fever,"Pseudoephed-DM-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,5,5,5
fever,Chlorpheniram-DM-Acetaminophen,On Label,OTC,5,5,5
fever,Doxylamine-DM-Acetaminophen,On Label,OTC,1,5,1
fever,Naproxen Sodium,On Label,OTC,3.5,4,3
fever,Cpm-Pseudoeph-DM-Acetaminophen,On Label,OTC,4,4.5,4.5
fever,Pseudoeph-DM-GG-Acetaminophen,On Label,RX,3.5,4,2
fever,Phenyltoloxamine-Acetaminophen,"
",RX/OTC,4,5,4
fever,Acetaminophen,On Label,OTC,5,5,3
fever,Acetaminophen,On Label,OTC,5,5,5
fever,Doxylamine-DM-Acetaminophen,On Label,OTC,1,4.33,1
fever,Doxylamine-DM-Acetaminophen,On Label,OTC,2,1,1
fever,Ibuprofen,On Label,OTC,4,4.5,4
fever,"Aspirin, Buffered",On Label,OTC,5,5,5
fever,"Aspirin, Buffered",On Label,OTC,3,4,3
fever,Acetaminophen,On Label,OTC,4,5,4
fever,Acetaminophen,On Label,OTC,4,5,4
fever,Acetaminophen,On Label,OTC,4,5,4
fever,"Acetaminophen-Pamabrom, Ibuprofen",On Label,OTC,5,5,5
fever,Cpm-PPA-DM-Acetaminophen,On Label,OTC,4,5,4.5
fever,Ibuprofen,On Label,OTC,5,5,5
fever,Acetaminophen,On Label,OTC,4,4,4
fever,Acetaminophen,On Label,OTC,4,4,4
fever,Acetaminophen,On Label,OTC,4,4,4
fever,Pseudoeph-DM-GG-Acetaminophen,On Label,OTC,1,1,1
fever,ASA-Acetaminophen-Salicyl-Caff,On Label,OTC,1,1,1
fever,Naproxen Sodium,On Label,OTC,4,5,5
fever,"Doxylamin-PSE-DM-Acetaminophen, Chlorphen-PE-DM-Acetaminophen",On Label,OTC,3,4,4
fever,Phenyltoloxamine-Acetaminophen,"
",OTC,2,4,1.5
fever,Acetaminophen,On Label,OTC,1,1,1
fever,Acetaminophen,On Label,OTC,3,4,1
fever,Phenylephrine-DM-Acetaminophen,On Label,OTC,4,5,4
fever,Acetaminophen,On Label,OTC,1,1,2
fever,Aspirin,On Label,OTC,1,1,1
fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,4.5,4.5,5
fever,"Cpm-PPA-DM-Acetaminophen, Acetaminophen",On Label,OTC,5,5,2
fever,Phenyltoloxamine-Acetaminophen,"
",RX,4,5,4
fever,Ibuprofen,On Label,OTC,4,4,5
fever,Ibuprofen,On Label,OTC,3.5,4.5,2.5
fever,Aspirin,On Label,OTC,2.5,4,2
fever,Doxylamine-DM-Acetaminophen,On Label,OTC,1,1,1
fever,Cpm-Pseudoeph-DM-Acetaminophen,On Label,OTC,5,5,4
fever,Acetaminophen,On Label,OTC,1.5,3,1.5
fever,"Choline,Magnesium Salicylate",On Label,RX,5,5,5
fever,"Choline,Magnesium Salicylate",On Label,RX,5,5,5
fever,Naproxen-Pseudoephedrine,On Label,OTC,5,5,5
fever,Phenyltoloxamine-Acetaminophen,"
",OTC,5,5,5
fever,Acetaminophen,On Label,OTC,5,1,1
fever,"Aspirin, Buffered",On Label,OTC,5,5,5
fever,Aspirin,On Label,OTC,2,2.5,1.5
fever,Acetaminophen,On Label,OTC,3,4,2
fever,Doxylamine-DM-Acetaminophen,On Label,OTC,5,5,5
fever,Acetaminophen,On Label,OTC,5,5,5
fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,2.5,4,2
fever,Acetaminophen,On Label,OTC,2,4,3
fever,Acetaminophen,On Label,OTC,5,5,5
fever,Doxylamine-DM-Acetaminophen,On Label,OTC,5,5,5
fever,Doxylamin-PSE-DM-Acetaminophen,On Label,OTC,4.5,4.5,4.5
fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,5,5,5
fever,Pseudoephedrine-Ibuprofen,On Label,OTC,2,2,2
fever,Pseudoephedrine-Ibuprofen,On Label,OTC,4,5,5
fever,Acetaminophen-DM,On Label,OTC,1,1,1
fever,Aspirin-Acetaminophen-Caffeine,On Label,OTC,5,5,4
fever,Aspirin-Acetaminophen-Caffeine,On Label,OTC,5,5,4
fever,Aspirin,On Label,OTC,3,5,3
fever,"Aspirin, Buffered",On Label,OTC,5,5,5
fever,"Aspirin, Buffered",On Label,OTC,3,4,4
fever,Ibuprofen,On Label,OTC,3,5,3
fever,"Aspirin, Buffered",On Label,OTC,5,5,5
fever,Phenyltoloxamine-Acetaminophen,"
",OTC,2,5,3
fever,"Dextromethorphan-Guaifenesin, Guaifenesin, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,2,2,1
fever,"Dextromethorphan-Guaifenesin, Guaifenesin, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,2,2,1
fever,"Dextromethorphan-Guaifenesin, Guaifenesin, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,2,2,1
fever,"Dextromethorphan-Guaifenesin, Guaifenesin, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,2,2,1
fever,Acetaminophen-DM,On Label,OTC,5,5,5
fever,Acetaminophen,On Label,OTC,4,2,4
fever,Ibuprofen,On Label,OTC,1,1,1
fever,Aspirin,On Label,OTC,5,5,5
fever,Acetaminophen,On Label,OTC,5,5,5
fever,"Pseudoephedrine-Ibuprofen, Ibuprofen",On Label,OTC,5,5,5
fever,"Pseudoephedrine-Ibuprofen, Ibuprofen",On Label,OTC,5,5,5
fever,Acetaminophen,On Label,OTC,5,4,5
fever,Ibuprofen,On Label,RX,5,5,5
fever,"Aspirin, Buffered",On Label,OTC,5,5,5
fever,"Aspirin, Buffered",On Label,OTC,5,5,5
fever,Naproxen-Pseudoephedrine,On Label,OTC,5,4,4
fever,Acetaminophen,On Label,OTC,1,1,1
fever,"Doxylamine-PE-DM-Acetaminophen, Diphenhydramine-PPA-ASA",On Label,OTC,4,5,5
fever,Phenyltoloxamine-Acetaminophen,"
",RX,5,5,5
fever,Acetaminophen,On Label,OTC,3,3,5
fever,"Pseudoephedrine-Ibuprofen, Brompheniram-PSE-Acetaminophen",On Label,OTC,1,4,1
fever,ASA-Acetaminophen-Salicyl-Caff,On Label,OTC,1,1,1
fever,Ibuprofen,On Label,OTC,5,5,5
fever,Aspirin,On Label,OTC,4,5,5
fever,Acetaminophen,On Label,OTC,1,1,1
fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,3,5,3
fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,4,5,3
fever,Phenyltoloxamine-Acetaminophen,"
",RX,5,5,5
fever,Chlorpheniramine-Acetaminophen,On Label,OTC,3,5,1
fever,Aspirin,On Label,OTC,5,5,5
fever,Aspirin,On Label,OTC,5,5,5
fever,Naproxen-Pseudoephedrine,On Label,OTC,4,4,2
fever,Phenyleph-DM-Acetamin-Guaifen,On Label,OTC,5,5,5
fever,Aspirin,On Label,OTC,5,5,5
fever,Cpm-PPA-DM-Acetaminophen,On Label,OTC,4,4,4
fever,Pseudoephed-DM-Acetaminophen,On Label,OTC,3,5,3
fever,"Aspirin, Buffered",On Label,OTC,5,5,5
fever,Acetaminophen,On Label,OTC,5,5,5
fever,Acetaminophen,On Label,OTC,3,4,3
fever,Phenyltoloxamine-Acetaminophen,"
",RX,5,5,3
fever,Cpm-Pseudoeph-DM-Acetaminophen,On Label,OTC,5,5,1
fever,Cpm-Pseudoeph-DM-Acetaminophen,On Label,OTC,5,5,5
fever,Cpm-Pseudoeph-DM-Acetaminophen,On Label,OTC,5,5,5
fever,"Chlorphenir-Phenylephrn-Aspirn, Diphenhydramine-Acetaminophen, Cpm-Phenyleph-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,2,2,5
fever,"Chlorphenir-Phenylephrn-Aspirn, Diphenhydramine-Acetaminophen, Cpm-Phenyleph-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,2,2,5
